Subject,WTSelectedDate,Bedtime,BedtimeAMPM,WakeTime,WakeTimeAMPM
S001,4/9/21,12:00,AM,7:35,AM
,5/9/21,12:05,AM,7:25,AM
,6/9/21,12:10,AM,7:40,AM
,7/9/21,12:10,AM,7:50,AM
,8/9/21,1:45,AM,8:25,AM
,9/9/21,12:25,AM,7:45,AM
,10/9/21,12:05,AM,7:30,AM
,11/9/21,1:25,AM,8:34,AM
,12/9/21,11:31,PM,7:34,AM
,13/9/21,2:07,AM,7:33,AM
,14/9/21,11:37,PM,7:01,AM
,15/9/21,12:27,AM,7:03,AM
,16/9/21,12:11,AM,7:36,AM
S002,30/9/21,11:59,PM,8:59,AM
,1/10/21,1:34,AM,8:02,AM
,2/10/21,1:36,AM,10:37,AM
,3/10/21,3:38,AM,11:32,AM
,4/10/21,2:05,AM,8:05,AM
,5/10/21,1:59,AM,9:25,AM
,6/10/21,2:00,AM,8:05,AM
,7/10/21,1:29,AM,8:03,AM
,8/10/21,2:56,AM,9:34,AM
,9/10/21,1:28,AM,7:59,AM
,10/10/21,1:30,AM,10:12,AM
,11/10/21,1:33,AM,9:25,AM
,12/10/21,1:15,AM,9:08,AM
,13/10/21,2:05,AM,9:07,AM
